연번,발생일자,사고유형,발생역,발생시간,비고
484,2024-02-20,기타,종로3가(1)역,17:34:00,
485,2024-02-19,역구내 사고,교대(2)역,21:01:00,
486,2024-02-17,발빠짐,동대문(4)역,20:25:00,
487,2024-02-17,출입문관련,강남역,12:49:00,
488,2024-02-17,출입문관련,미아사거리역,13:55:00,
489,2024-02-16,출입문관련,아차산역,22:11:00,
490,2024-02-16,출입문관련,아차산역,22:11:00,
491,2024-02-15,승강설비관련,송정역,09:03:00,
492,2024-02-15,역구내 사고,대청역,16:52:00,
493,2024-02-15,출입문관련,아현역,13:51:00,
494,2024-02-15,출입문관련,마장역,15:42:00,
495,2024-02-14,기타,유선접수,09:30:00,
496,2024-02-14,승강설비관련,가산디지털단지(7)역,20:20:00,
497,2024-02-14,출입문관련,부평역,15:12:00,
498,2024-02-09,승강설비관련,상봉역,14:00:00,
499,2024-02-08,승강설비관련,천왕역,16:10:00,
500,2024-02-07,역구내 사고,혜화역,18:49:00,
501,2024-02-06,발빠짐,동대문역사문화공원(4)역,19:42:00,
502,2024-02-06,출입문관련,건대입구(7)역,11:49:00,
503,2024-02-05,출입문관련,천호(5)역,16:14:00,
504,2024-02-03,역구내 사고,철산역,12:00:00,
505,2024-02-03,출입문관련,신용산역,19:02:00,
506,2024-02-03,출입문관련,신용산역,19:02:00,
507,2024-02-02,역구내 사고,장한평역,20:25:00,
508,2024-02-01,발빠짐,동대문역사문화공원(5)역,14:41:00,
509,2024-01-31,열차내 사고,신촌역,21:00:00,
510,2024-01-31,승강설비관련,논현역,20:41:00,
511,2024-01-31,출입문관련,구파발(3)역,14:13:00,
512,2024-01-30,역구내 사고,사당(4)역,07:04:00,
513,2024-01-30,열차내 사고,신대방역,07:59:00,
514,2024-01-30,발빠짐,동대문역사문화공원(4)역,08:00:00,
515,2024-01-30,출입문관련,수서역,08:46:00,
516,2024-01-29,역구내 사고,강동역,07:00:00,
517,2024-01-29,역구내 사고,군자(5)역,12:32:00,
518,2024-01-27,발빠짐,성신여대입구역,15:59:00,
519,2024-01-26,승강설비관련,성신여대입구역,17:22:00,
520,2024-01-25,열차내 사고,신림역,08:00:00,
521,2024-01-24,출입문관련,구파발(3)역,12:50:00,
522,2024-01-21,승강설비관련,쌍문역,11:30:00,
523,2024-01-21,출입문관련,천호(5)역,14:14:00,
524,2024-01-20,열차내 사고,천호(5)역,16:52:00,
525,2024-01-19,발빠짐,군자(7)역,19:00:00,
526,2024-01-19,출입문관련,송내역,17:40:00,
527,2024-01-18,열차내 사고,방배역,16:45:00,
528,2024-01-18,열차내 사고,사당(2)역,16:50:00,
529,2024-01-17,역구내 사고,약수(6)역,22:29:00,
530,2024-01-17,역구내 사고,망원역,21:33:00,
531,2024-01-17,발빠짐,철산역,19:02:00,
532,2024-01-17,출입문관련,선릉역,12:06:00,
533,2024-01-15,역구내 사고,회현역,12:32:00,
534,2024-01-14,열차내 사고,신도림(2)역,16:35:00,
535,2024-01-14,역구내 사고,약수(6)역,14:50:00,
536,2024-01-14,열차내 사고,신도림(2)역,16:35:00,
537,2024-01-13,역구내 사고,을지로3가(3)역,17:16:00,
538,2024-01-13,역구내 사고,수서역,12:50:00,
539,2024-01-13,발빠짐,발산역,17:02:00,
540,2024-01-11,역구내 사고,신촌역,14:00:00,
541,2024-01-11,역구내 사고,구의역,23:30:00,
542,2024-01-11,출입문관련,발산역,16:37:00,
543,2024-01-10,발빠짐,홍제역,06:54:00,
544,2024-01-10,열차내 사고,강남역,20:18:00,
545,2024-01-09,출입문관련,마두역,15:38:00,
546,2024-01-08,승강설비관련,오금(3)역,07:42:00,
547,2024-01-08,출입문관련,교대(3)역,07:42:00,
548,2024-01-07,발빠짐,동대문(4)역,11:21:00,
549,2024-01-06,열차내 사고,수서역,19:55:00,
550,2024-01-05,역구내 사고,가락시장(8)역,08:00:00,
551,2024-01-04,역구내 사고,오금(3)역,08:21:00,
552,2024-01-03,발빠짐,철산역,07:58:00,
553,2024-01-02,출입문관련,동대문역사문화공원(2)역,08:26:00,
554,2023-12-30,출입문관련,을지로4가(2)역,13:37:00,
555,2023-12-30,열차내 사고,을지로3가역,12:37:00,
556,2023-12-27,열차내 사고,문정역,08:35:00,
557,2023-12-27,발빠짐,충무로(3)역,17:43:00,
558,2023-12-26,출입문관련,대림(7)역,20:46:00,
559,2023-12-26,출입문관련,신도림역,08:57:00,
560,2023-12-26,출입문관련,신정역,12:09:00,
561,2023-12-25,역구내 사고,봉천역,15:30:00,
562,2023-12-24,열차내 사고,오금역,11:48:00,
563,2023-12-24,역구내 사고,신대방역,10:37:00,
564,2023-12-24,역구내 사고,회현역,20:58:00,
565,2023-12-23,역구내 사고,신도림역,10:10:00,
566,2023-12-22,역구내 사고,군자(5)역,23:30:00,
567,2023-12-22,열차내 사고,신대방삼거리역,08:15:00,
568,2023-12-21,역구내 사고,신금호역,00:32:00,
569,2023-12-21,역구내 사고,충정로역,08:18:00,
570,2023-12-20,역구내 사고,연신내(3)역,11:58:00,
571,2023-12-20,역구내 사고,합정(2)역,11:10:00,
572,2023-12-20,발빠짐,충무로(3)역,17:17:00,
573,2023-12-20,승강설비관련,연신내(3)역,11:58:00,
574,2023-12-20,발빠짐,신정역,08:01:00,
575,2023-12-18,열차내 사고,사당(4)역,14:13:00,
576,2023-12-18,출입문관련,공덕(5)역,19:22:00,
577,2023-12-17,역구내 사고,신당(2)역,11:53:00,
578,2023-12-16,역구내 사고,독립문역,07:30:00,
579,2023-12-16,역구내 사고,신당(2)역,23:53:00,
580,2023-12-15,역구내 사고,수유역,08:46:00,
581,2023-12-15,역구내 사고,동묘앞(1)역,06:54:00,
582,2023-12-15,발빠짐,서울(1)역,07:24:00,
583,2023-12-14,열차내 사고,낙성대역,08:32:00,
584,2023-12-14,발빠짐,사당(2)역,08:32:00,
585,2023-12-14,열차내 사고,신대방역,22:05:00,
586,2023-12-14,승강설비관련,하계역,11:41:00,
587,2023-12-14,발빠짐,구로디지털단지역,08:38:00,
588,2023-12-14,역구내 사고,남부터미널역,15:17:00,
589,2023-12-14,출입문관련,선릉역,11:07:00,
590,2023-12-13,역구내 사고,수서역,12:50:00,
591,2023-12-12,출입문관련,강동역,07:40:00,
592,2023-12-12,출입문관련,숭실대입구역,18:22:00,
593,2023-12-12,역구내 사고,서울대입구역,10:40:00,
594,2023-12-11,열차내 사고,대방역,12:04:00,
595,2023-12-11,출입문관련,복정역,18:24:00,
596,2023-12-08,승강설비관련,디지털미디어시티역,08:51:00,
597,2023-12-07,발빠짐,몽촌토성역,22:21:00,
598,2023-12-06,승강설비관련,상봉역,14:19:00,
599,2023-12-06,승강설비관련,대림(7)역,10:27:00,
600,2023-12-06,출입문관련,대청역,06:50:00,
601,2023-12-06,출입문관련,명동역,18:06:00,
602,2023-12-05,발빠짐,서울(4)역,09:59:00,
603,2023-12-04,역구내 사고,신설동(1)역,08:11:00,
604,2023-12-04,출입문관련,창동역,12:04:00,
605,2023-12-01,승강설비관련,태릉입구(6)역,12:35:00,
606,2023-12-01,열차내 사고,신도림(2)역,18:18:00,
607,2023-12-01,역구내 사고,역삼역,15:28:00,
608,2023-12-01,열차내 사고,선릉역,18:18:00,
609,2023-11-30,발빠짐,신림역,08:26:00,
610,2023-11-29,승강설비관련,신대방삼거리역,15:19:00,
611,2023-11-29,승강설비관련,신대방삼거리역,16:38:00,
612,2023-11-28,역구내 사고,약수(6)역,11:18:00,
613,2023-11-28,발빠짐,동대문역사문화공원(4)역,18:40:00,
614,2023-11-27,발빠짐,철산역,09:40:00,
615,2023-11-25,출입문관련,아현역,13:47:00,
616,2023-11-24,열차내 사고,종로5가역,09:05:00,
617,2023-11-24,출입문관련,산본역,08:44:00,
618,2023-11-24,역구내 사고,왕십리(5)역,20:20:00,
619,2023-11-21,출입문관련,동대문역사문화공원(5)역,18:32:00,
620,2023-11-20,출입문관련,대림(7)역,07:20:00,
621,2023-11-19,열차내 사고,성수역,09:50:00,
622,2023-11-19,역구내 사고,온수역,17:00:00,
623,2023-11-19,발빠짐,압구정역,19:02:00,
624,2023-11-18,역구내 사고,한강진역,10:15:00,
625,2023-11-18,역구내 사고,구의역,00:30:00,
626,2023-11-17,승강설비관련,하계역,13:45:00,
627,2023-11-16,출입문관련,방화역,11:53:00,
628,2023-11-16,열차내 사고,디지털미디어시티역,16:01:00,
629,2023-11-16,발빠짐,구로디지털단지역,08:55:00,
630,2023-11-16,열차내 사고,문정역,09:25:00,
631,2023-11-16,역구내 사고,사당(4)역,15:38:00,
632,2023-11-15,발빠짐,신길역,11:37:00,
633,2023-11-15,출입문관련,오목교역,15:36:00,
634,2023-11-14,열차내 사고,회현역,08:17:00,
635,2023-11-14,열차내 사고,혜화역,08:17:00,
636,2023-11-14,출입문관련,군자(5)역,10:04:00,
637,2023-11-14,출입문관련,건대입구(2)역,08:50:00,
638,2023-11-13,출입문관련,응암영,17:46:00,
639,2023-11-12,출입문관련,합정(2)역,10:11:00,
640,2023-11-11,출입문관련,이수(4)역,19:53:00,
641,2023-11-10,역구내 사고,혜화역,14:10:00,
642,2023-11-10,출입문관련,신길역,18:39:00,
643,2023-11-09,발빠짐,한성대입구역,19:25:00,
644,2023-11-09,역구내 사고,서초역,18:55:00,
645,2023-11-09,출입문관련,종로3가(3)역,19:28:00,
646,2023-11-08,발빠짐,구로디지털단지역,08:16:00,
647,2023-11-08,열차내 사고,신대방역,15:25:00,
648,2023-11-07,출입문관련,방이역,08:59:00,
649,2023-11-07,출입문관련,청담역,17:42:00,
650,2023-11-06,역구내 사고,신정네거리역,07:57:00,
651,2023-11-06,승강설비관련,역삼역,08:37:00,
652,2023-11-06,승강설비관련,역삼역,08:37:00,
653,2023-11-04,역구내 사고,숙대입구역,11:22:00,
654,2023-11-03,출입문관련,이촌역,11:04:00,
655,2023-11-03,출입문관련,산본역,19:38:00,
656,2023-11-03,발빠짐,경찰병원역,19:36:00,
657,2023-11-03,발빠짐,신촌역,18:09:00,
658,2023-11-02,출입문관련,을지로3가(2)역,14:33:00,
659,2023-11-01,출입문관련,홍대입구역,05:52:00,
660,2023-11-01,출입문관련,홍대입구역,05:52:00,
661,2023-11-01,출입문관련,노원(4)역,13:52:00,
662,2023-11-01,출입문관련,구파발(3)역,18:42:00,
663,2023-11-01,발빠짐,발산역,14:46:00,
664,2023-11-01,승강설비관련,행당역,10:20:00,
665,2023-10-27,열차내 사고,애오개역,19:00:00,
666,2023-10-26,열차내 사고,선릉역,08:32:00,
667,2023-10-26,열차내 사고,선릉(2)역,08:36:00,
668,2023-10-26,출입문관련,상일동,17:32:00,
669,2023-10-26,열차내 사고,강남역,08:45:00,
670,2023-10-26,열차내 사고,강남역,08:45:00,
671,2023-10-26,열차내 사고,봉천역,08:45:00,
672,2023-10-26,출입문관련,면목역,20:39:00,
673,2023-10-26,역구내 사고,선릉역,07:15:00,
674,2023-10-25,출입문관련,녹번(3)역,09:20:00,
675,2023-10-23,출입문관련,월곡역,18:03:00,
676,2023-10-23,역구내 사고,강남구청역,19:00:00,
677,2023-10-23,발빠짐,발산역,23:10:00,
678,2023-10-22,출입문관련,신길역,16:13:00,
679,2023-10-20,출입문관련,먹골역,17:26:00,
680,2023-10-19,출입문관련,종로3가(3)역,20:40:00,
681,2023-10-19,역구내 사고,구로디지털단지역,17:11:00,
682,2023-10-19,열차내 사고,도봉산(7)역,07:02:00,
683,2023-10-18,출입문관련,태릉입구(7)역,18:30:00,
684,2023-10-18,출입문관련,성신여대입구역,15:02:00,
685,2023-10-17,역구내 사고,시청(1)역,14:15:00,
686,2023-10-17,역구내 사고,시청(1)역,14:20:00,
687,2023-10-16,역구내 사고,청담역,07:55:00,
688,2023-10-16,출입문관련,강동역,07:43:00,
689,2023-10-15,역구내 사고,광명사거리역,21:00:00,
690,2023-10-13,승강설비관련,성수역,14:49:00,
691,2023-10-13,출입문관련,성수역,16:15:00,
692,2023-10-12,발빠짐,동대문역사문화공원(4)역,08:19:00,
693,2023-10-11,출입문관련,청량리역,13:29:00,
694,2023-10-11,열차내 사고,구의역,10:45:00,
695,2023-10-11,발빠짐,철산역,08:37:00,
696,2023-10-11,출입문관련,노원(7)역,18:24:00,
697,2023-10-11,승강설비관련,봉천역,09:40:00,
698,2023-10-10,출입문관련,마곡역,08:36:00,
699,2023-10-10,열차내 사고,오목교역,08:18:00,
700,2023-10-09,출입문관련,월드컵경기장역,19:14:00,
701,2023-10-06,역구내 사고,목동역,14:22:00,
702,2023-10-06,출입문관련,송정역,12:02:00,
703,2023-10-06,출입문관련,우장산역,15:49:00,
704,2023-10-05,출입문관련,공덕(5)역,10:14:00,
705,2023-10-04,역구내 사고,고속터미널(3)역,11:40:00,
706,2023-10-04,역구내 사고,신사(3)역,18:17:00,
707,2023-10-02,출입문관련,약수(3)역,15:30:00,
708,2023-09-30,출입문관련,양재역,13:40:00,
709,2023-09-29,승강설비관련,약수(6)역,17:27:00,
710,2023-09-29,역구내 사고,봉천역,17:09:00,
711,2023-09-27,역구내 사고,숭실대입구역,17:50:00,
712,2023-09-26,발빠짐,발산역,18:23:00,
713,2023-09-26,출입문관련,경복궁(3)역,08:44:00,
714,2023-09-26,출입문관련,구로디지털단지역,12:44:00,
715,2023-09-25,역구내 사고,창동역,08:40:00,
716,2023-09-25,출입문관련,군자(5)역,11:25:00,
717,2023-09-25,역구내 사고,남부터미널역,20:15:00,
718,2023-09-25,출입문관련,군자(5)역,17:45:00,
719,2023-09-25,출입문관련,신금호역,10:46:00,
720,2023-09-24,출입문관련,구로역,12:43:00,
721,2023-09-23,출입문관련,종로5가역,13:44:00,
722,2023-09-23,출입문관련,가락시장역,14:37:00,
723,2023-09-21,출입문관련,동대문역사문화공원(2)역,18:19:00,
724,2023-09-20,역구내 사고,군자(5)역,08:04:00,
725,2023-09-20,역구내 사고,신사(3)역,18:05:00,
726,2023-09-20,승강설비관련,신대방삼거리역,08:30:00,
727,2023-09-20,역구내 사고,교대(2)역,08:39:00,
728,2023-09-18,승강설비관련,역촌역,19:36:00,
729,2023-09-18,발빠짐,동대문역사문화공원(5)역,19:51:00,
730,2023-09-18,출입문관련,노원(4)역,08:13:00,
731,2023-09-16,출입문관련,서울(4)역,16:18:00,
732,2023-09-15,역구내 사고,봉천역,15:40:00,
733,2023-09-14,발빠짐,도봉산(7)역,17:19:00,
734,2023-09-14,발빠짐,동대문역사문화공원(2)역,07:46:00,
735,2023-09-13,승강설비관련,종로3가(3)역,12:52:00,
736,2023-09-13,역구내 사고,경찰병원역,16:27:00,
737,2023-09-13,역구내 사고,종로3가(3)역,12:52:00,
738,2023-09-10,열차내 사고,연신내(3)역,11:24:00,
739,2023-09-10,열차내 사고,신당(2)역,11:44:00,
740,2023-09-09,출입문관련,동대문역사문화공원(2)역,16:59:00,
741,2023-09-09,출입문관련,송정역,19:54:00,
742,2023-09-09,역구내 사고,가산디지털단지(7)역,10:40:00,
743,2023-09-08,역구내 사고,교대(3)역,16:26:00,
744,2023-09-08,발빠짐,고속터미널(7)역,17:48:00,
745,2023-09-08,출입문관련,낙성대역,13:47:00,
746,2023-09-08,출입문관련,잠원역,09:33:00,
747,2023-09-07,발빠짐,동대입구역,18:13:00,
748,2023-09-07,출입문관련,이수(4)역,19:35:00,
749,2023-09-07,출입문관련,구로디지털단지역,18:24:00,
750,2023-09-07,발빠짐,서울역,18:13:00,
751,2023-09-05,출입문관련,잠실(8)역,09:48:00,
752,2023-09-05,출입문관련,신도림역,08:03:00,
753,2023-09-05,출입문관련,명일역,18:29:00,
754,2023-09-05,출입문관련,신정네거리역,15:28:00,
755,2023-09-04,출입문관련,서울(4)역,08:25:00,
756,2023-09-02,출입문관련,학동역,16:03:00,
757,2023-09-01,승강설비관련,청량리역,18:27:00,
758,2023-09-01,출입문관련,신림역,16:55:00,
759,2023-08-31,출입문관련,양재역,07:40:00,
760,2023-08-30,발빠짐,서대문역,08:30:00,
761,2023-08-30,열차내 사고,청량리역,07:34:00,
762,2023-08-30,열차내 사고,청량리역,07:34:00,
763,2023-08-30,출입문관련,미아사거리역,08:20:00,
764,2023-08-30,출입문관련,교대(3)역,16:16:00,
765,2023-08-29,출입문관련,성수역,13:32:00,
766,2023-08-29,역구내 사고,왕십리(2)역,11:33:00,
767,2023-08-29,출입문관련,성수역,13:32:00,
768,2023-08-29,출입문관련,신사(3)역,17:36:00,
769,2023-08-28,역구내 사고,증산역,07:39:00,
770,2023-08-28,역구내 사고,창신역,11:22:00,
771,2023-08-28,역구내 사고,종각역,13:41:00,
772,2023-08-28,열차내 사고,태릉입구역,07:09:00,
773,2023-08-28,승강설비관련,철산역,08:16:00,
774,2023-08-27,발빠짐,충무로(3)역,12:59:00,
775,2023-08-26,출입문관련,상일동역,15:57:00,
776,2023-08-25,역구내 사고,수서역,18:48:00,
777,2023-08-24,발빠짐,동대문역사문화공원(4)역,18:20:00,
778,2023-08-24,역구내 사고,연신내(3)역,07:18:00,
779,2023-08-24,출입문관련,종각역,08:52:00,
780,2023-08-23,발빠짐,고속터미널(7)역,20:16:00,
781,2023-08-23,역구내 사고,강변역,06:14:00,
782,2023-08-23,출입문관련,시청(2)역,17:18:00,
783,2023-08-22,출입문관련,을지로3가(2)역,07:38:00,
784,2023-08-22,발빠짐,강변역,08:07:00,
785,2023-08-22,출입문관련,명동역,14:57:00,
786,2023-08-20,역구내 사고,오금(5)역,10:19:00,
787,2023-08-19,승강설비관련,신도림(2)역,16:30:00,
788,2023-08-18,출입문관련,신도림역,19:24:00,
789,2023-08-18,열차내 사고,잠실(2)역,07:39:00,
790,2023-08-17,열차내 사고,을지로4가(2)역,18:20:00,
791,2023-08-17,출입문관련,영등포구청(5)역,17:25:00,
792,2023-08-17,열차내 사고,을지로4가(2)역,18:20:00,
793,2023-08-17,열차내 사고,을지로3가(2)역,18:20:00,
794,2023-08-17,열차내 사고,시청(2)역,14:30:00,
795,2023-08-17,출입문관련,충무로(4)역,08:26:00,
796,2023-08-16,열차내 사고,중곡역,08:25:00,
797,2023-08-16,역구내 사고,역촌역,19:00:00,
798,2023-08-16,열차내 사고,어린이대공원역,08:21:00,
799,2023-08-16,역구내 사고,학여울역,14:03:00,
800,2023-08-15,출입문관련,서울(4)역,13:57:00,
801,2023-08-14,역구내 사고,천왕역,18:40:00,
802,2023-08-13,열차내 사고,방화역,15:30:00,
803,2023-08-12,역구내 사고,어린이대공원역,13:35:00,
804,2023-08-11,출입문관련,동대문역사문화공원(4)역,12:47:00,
805,2023-08-11,승강설비관련,역삼역,09:50:00,
806,2023-08-10,출입문관련,영등포구청(5)역,09:17:00,
807,2023-08-09,역구내 사고,중계역,11:19:00,
808,2023-08-07,출입문관련,군자(5)역,21:32:00,
809,2023-08-07,발빠짐,개화산역,14:50:00,
810,2023-08-07,열차내 사고,쌍문역,08:57:00,
811,2023-08-03,발빠짐,동대문역사문화공원(4)역,09:15:00,
812,2023-08-03,발빠짐,동묘앞(1)역,07:40:00,
813,2023-08-03,출입문관련,잠실(8)역,09:18:00,
814,2023-08-02,출입문관련,면목역,10:03:00,
815,2023-07-31,역구내 사고,논현역,09:15:00,
816,2023-07-31,승강설비관련,독립문역,15:56:00,
817,2023-07-30,역구내 사고,동묘앞(1)역,18:10:00,
818,2023-07-30,열차내 사고,중계역,22:00:00,
819,2023-07-25,발빠짐,철산역,17:48:00,
820,2023-07-25,출입문관련,여의나루역,16:06:00,
821,2023-07-24,출입문관련,이수(4)역,08:09:00,
822,2023-07-24,출입문관련,회현역,18:46:00,
823,2023-07-23,출입문관련,신촌역,21:15:00,
824,2023-07-22,발빠짐,압구정역,13:24:00,
825,2023-07-21,발빠짐,불광(6)역,18:09:00,
826,2023-07-19,역구내 사고,남위례역,14:40:00,
827,2023-07-19,역구내 사고,잠실(2)역,07:25:00,
828,2023-07-18,열차내 사고,대화역,10:25:00,
829,2023-07-18,열차내 사고,암사역,16:00:00,
830,2023-07-18,열차내 사고,방이역,08:07:00,
831,2023-07-17,출입문관련,성수역,08:55:00,
832,2023-07-17,출입문관련,당산(2)역,12:53:00,
833,2023-07-16,역구내 사고,불광(3)역,20:27:00,
834,2023-07-15,역구내 사고,대치역,07:52:00,
835,2023-07-15,열차내 사고,대림(7)역,11:55:00,
836,2023-07-14,열차내 사고,종로3가(1)역,17:40:00,
837,2023-07-14,역구내 사고,용두역,11:06:00,
838,2023-07-14,역구내 사고,사당(2)역,20:10:00,
839,2023-07-14,역구내 사고,안국역,15:30:00,
840,2023-07-13,역구내 사고,종로5가역,18:19:00,
841,2023-07-13,열차내 사고,서초역,22:17:00,
842,2023-07-12,승강설비관련,신당(6)역,08:31:00,
843,2023-07-12,열차내 사고,서울대입구역,22:16:00,
844,2023-07-12,출입문관련,태릉입구(7)역,16:15:00,
845,2023-07-11,발빠짐,신촌역,18:56:00,
846,2023-07-11,역구내 사고,도봉산(7)역,17:47:00,
847,2023-07-11,역구내 사고,강변역,10:18:00,
848,2023-07-09,역구내 사고,신림역,11:32:00,
849,2023-07-08,열차내 사고,시청(1)역,11:06:00,
850,2023-07-07,발빠짐,방배역,18:29:00,
851,2023-07-07,열차내 사고,제S475열차,18:09:00,
852,2023-07-07,출입문관련,합정(2)역,18:02:00,
853,2023-07-06,역구내 사고,교대(3)역,21:11:00,
854,2023-07-05,출입문관련,사당(4)역,18:18:00,
855,2023-07-05,출입문관련,종로5가역,09:47:00,
856,2023-07-04,승강설비관련,잠실(2)역,19:54:00,
857,2023-07-04,열차내 사고,합정(2)역,08:25:00,
858,2023-07-04,열차내 사고,코레일,14:40:00,
859,2023-07-04,승강설비관련,연신내(3)역,16:18:00,
860,2023-07-02,출입문관련,혜화역,15:24:00,
861,2023-07-02,기타,교대(2)역,12:00:00,
862,2023-07-02,출입문관련,디지털미디어시티역,10:03:00,
863,2023-06-30,승강설비관련,청량리역,06:13:00,
864,2023-06-30,승강설비관련,천호역,09:42:00,
865,2023-06-29,출입문관련,발산역,14:00:00,
866,2023-06-29,승강설비관련,이수(7)역,09:56:00,
867,2023-06-29,열차내 사고,대림(2)역,11:09:00,
868,2023-06-29,역구내 사고,잠실나루역,11:14:00,
869,2023-06-27,출입문관련,창동역,18:42:00,
870,2023-06-27,출입문관련,구로디지털단지역,17:55:00,
871,2023-06-27,출입문관련,성수역,08:51:00,
872,2023-06-27,역구내 사고,종로3가(3)역,15:10:00,
873,2023-06-26,출입문관련,지축역,19:06:00,
874,2023-06-23,출입문관련,수유역,11:32:00,
875,2023-06-23,열차내 사고,교대(2)역,18:42:00,
876,2023-06-23,발빠짐,연신내(3)역,07:36:00,
877,2023-06-23,발빠짐,동대문(4)역,13:53:00,
878,2023-06-22,출입문관련,당산(2)역,09:08:00,
879,2023-06-22,승강설비관련,음암역,10:46:00,
880,2023-06-21,출입문관련,쌍문역,17:31:00,
881,2023-06-21,열차내 사고,서울대입구역,10:37:00,
882,2023-06-20,발빠짐,신촌역,13:17:00,
883,2023-06-19,출입문관련,연신내(3)역,14:23:00,
884,2023-06-19,열차내 사고,고속터미널(3)역,15:34:00,
885,2023-06-19,발빠짐,아현역,16:43:00,
886,2023-06-19,발빠짐,성신여대입구역,17:50:00,
887,2023-06-19,출입문관련,을지로3가(2)역,17:08:00,
888,2023-06-17,출입문관련,신도림역,16:00:00,
889,2023-06-16,출입문관련,동대문역사문화공원(4)역,13:35:00,
890,2023-06-16,출입문관련,경찰병원역,16:07:00,
891,2023-06-16,출입문관련,천왕역,14:30:00,
892,2023-06-15,역구내 사고,왕십리(5)역,19:26:00,
893,2023-06-15,승강설비관련,암사역,16:12:00,
894,2023-06-14,열차내 사고,신대방역,11:28:00,
895,2023-06-14,출입문관련,뚝섬역,16:08:00,
896,2023-06-14,발빠짐,성신여대입구역,12:12:00,
897,2023-06-13,발빠짐,종로3가(1)역,09:16:00,
898,2023-06-13,승강설비관련,약수(6)역,07:54:00,
899,2023-06-13,발빠짐,신금호역,13:47:00,
900,2023-06-11,출입문관련,잠실(2)역,14:27:00,
901,2023-06-11,역구내 사고,신정네거리역,19:38:00,
902,2023-06-11,승강설비관련,우장산역,17:02:00,
903,2023-06-10,역구내 사고,마들역,16:31:00,
904,2023-06-09,역구내 사고,창동역,19:51:00,
905,2023-06-09,출입문관련,인덕원역,18:02:00,
906,2023-06-08,열차내 사고,화서역,18:23:00,
907,2023-06-07,역구내 사고,신당(2)역,16:40:00,
908,2023-06-05,승강설비관련,월드컵경기장역,16:53:00,
909,2023-06-05,출입문관련,을지로입구(2)역,14:02:00,
910,2023-06-04,역구내 사고,봉천역,22:37:00,
911,2023-06-03,출입문관련,군자(5)역,16:15:00,
912,2023-06-02,발빠짐,도봉산(7)역,18:26:00,
913,2023-06-01,발빠짐,신촌역,08:24:00,
914,2023-05-31,출입문관련,사가정역,11:57:00,
915,2023-05-31,출입문관련,오남역,10:37:00,
916,2023-05-31,승강설비관련,논현역,18:02:00,
917,2023-05-30,발빠짐,충무로(4)역,20:19:00,
918,2023-05-30,역구내 사고,고속터미널(3)역,13:15:00,
919,2023-05-30,역구내 사고,몽촌토성역,08:05:00,
920,2023-05-28,역구내 사고,구파발(3)역,18:20:00,
921,2023-05-27,출입문관련,낙성대역,22:10:00,
922,2023-05-27,승강설비관련,신정네거리역,16:17:00,
923,2023-05-27,출입문관련,장승배기역,16:48:00,
924,2023-05-26,출입문관련,서울(4)역,10:33:00,
925,2023-05-25,출입문관련,신도림(2)역,10:49:00,
926,2023-05-25,열차내 사고,문래역,08:33:00,
927,2023-05-25,출입문관련,인천역,07:50:00,
928,2023-05-23,열차내 사고,청량리역,14:03:00,
929,2023-05-23,역구내 사고,천호(8)역,08:26:00,
930,2023-05-20,출입문관련,홍대입구역,16:06:00,
931,2023-05-20,역구내 사고,봉천역,18:09:00,
932,2023-05-19,역구내 사고,서초역,15:13:00,
933,2023-05-19,역구내 사고,시청(2)역,11:40:00,
934,2023-05-19,출입문관련,동대문역사문화공원(2)역,16:20:00,
935,2023-05-18,역구내 사고,장승배기역,20:30:00,
936,2023-05-18,열차내 사고,을지로입구(2)역,17:45:00,
937,2023-05-18,발빠짐,동대문역사문화공원(4)역,15:07:00,
938,2023-05-17,출입문관련,발산역,11:44:00,
939,2023-05-17,출입문관련,봉천역,18:09:00,
940,2023-05-15,열차내 사고,3130열차,09:20:00,
941,2023-05-14,열차내 사고,청량리역,12:09:00,
942,2023-05-14,역구내 사고,동대입구역,19:05:00,
943,2023-05-14,열차내 사고,청량리역,14:56:00,
944,2023-05-11,출입문관련,발산역,17:28:00,
945,2023-05-11,열차내 사고,봉천역,08:22:00,
946,2023-05-11,발빠짐,충무로(3)역,16:19:00,
947,2023-05-11,열차내 사고,사당(2)역,08:22:00,
948,2023-05-11,열차내 사고,신림역,08:22:00,
949,2023-05-10,열차내 사고,마장역,17:50:00,
950,2023-05-10,역구내 사고,사당(4)역,08:14:00,
951,2023-05-08,출입문관련,구산역,18:33:00,
952,2023-05-08,열차내 사고,남영역,17:09:00,
953,2023-05-08,발빠짐,을지로4가(2)역,18:16:00,
954,2023-05-08,출입문관련,사당(4)역,09:59:00,
955,2023-05-07,열차내 사고,중화역,13:54:00,
956,2023-05-07,열차내 사고,신설동(1)역,18:00:00,
957,2023-05-06,역구내 사고,합정(6)역,16:49:00,
958,2023-05-06,승강설비관련,성수역,13:16:00,
959,2023-05-03,승강설비관련,구로디지털단지역,12:25:00,
960,2023-05-02,출입문관련,화곡역,20:30:00,
961,2023-05-02,발빠짐,어린이대공원역,08:31:00,
962,2023-04-30,발빠짐,신촌역,22:57:00,
963,2023-04-30,열차내 사고,청담역,10:30:00,
964,2023-04-29,승강설비관련,고속터미널(3)역,17:14:00,
965,2023-04-29,역구내 사고,사당(2)역,09:21:00,
966,2023-04-29,열차내 사고,사당(2)역,00:05:00,
